0,0
700,755
700,855
700,900
700,955
700,1055
700,1155
700,1255
700,1455
800,855
800,955
800,1055
800,1155
800,1255
800,1355
900,955
900,1030
900,1055
900,1059
900,1155
900,1255
900,1355
1000,1055
1000,1155
1000,1255
1000,1355
1100,1125
1100,1155
1100,1200
1100,1229
1100,1230
1100,1255
1100,1259
1100,1355
1100,1455
1100,1555
1200,1255
1200,1330
1200,1355
1200,1455
1200,1555
1300,1355
1300,1430
1300,1455
1300,1459
1300,1555
1300,1655
1400,1455
1400,1555
1400,1655
1400,1755
1500,1555
1500,1630
1500,1644
1500,1655
1500,1755
1500,1855
1600,1655
1600,1755
1600,1855
1600,1955
1700,1755
1700,1855
1700,1955
1700,2055
1730,1925
1730,2125
1800,1855
1800,1955
1800,2055
1800,2155
1900,1900
1900,1955
1900,2055
1900,2155
2000,2055
2000,2155
