42457,D03,0,0,0,I,I5818,0,,
47008,D05,0,0,0,I,MT160,0,,
105885,D01,0,0,0,I,UTT24,0,,
57518,D01,1,1,0,I,MT310,0,,
84780,D02,35,7,28,I,I5966,0,16/01/2017,02/06/2017
38451,D01,25,24,1,I,I3304,0,16/01/2017,02/06/2017
61555,D01,0,0,0,I,UTT22,0,,
125994,D03,0,0,0,I,I5842,0,,
133400,D01,0,0,0,I,I6113,0,,
7689,D01,0,0,0,I,UTT21,0,,
46583,D03,0,0,0,I,IQ212,0,,
46847,D06,40,0,40,I,MT101,0,16/01/2017,02/06/2017
133445,D01,0,0,0,I,I6819,0,,
98560,D05,38,35,3,I,I7348,0,16/01/2017,02/06/2017
104766,D05,0,0,0,I,I7265,0,16/01/2017,02/06/2017
59839,D09,0,0,0,I,I7266,0,,
133050,D03,0,0,0,I,I7575,0,,
133087,D04,0,0,0,I,I7288,0,16/01/2017,02/06/2017
8393,D01,0,0,0,I,UTT28,0,,
94990,D08,35,13,22,I,I5803,0,16/01/2017,02/06/2017
133341,D02,0,0,0,I,UTT42,0,,
133074,D05,0,0,0,I,I7270,0,16/01/2017,02/06/2017
133075,D06,0,0,0,I,I7270,0,16/01/2017,02/06/2017
133076,D07,0,0,0,I,I7270,0,16/01/2017,02/06/2017
133077,D08,0,0,0,I,I7270,0,16/01/2017,02/06/2017
55434,D02,30,0,30,I,ET339,0,16/01/2017,02/06/2017
133339,D01,0,0,0,I,I9893,0,16/01/2017,02/06/2017
120256,D01,24,24,0,I,IB130,0,16/01/2017,02/06/2017
114819,D01,40,18,22,I,I9895,0,16/01/2017,02/06/2017
3061,D02,10,0,10,I,F0264,0,16/01/2017,02/06/2017
78921,D01,24,23,1,I,I7589,0,16/01/2017,02/06/2017
94803,D01,0,0,0,I,I7278,0,16/01/2017,02/06/2017
43400,D02,0,0,0,I,I7267,0,16/01/2017,02/06/2017
88984,D07,0,0,0,I,I7278,0,16/01/2017,02/06/2017
86325,D08,0,0,0,I,I7278,0,16/01/2017,02/06/2017
104778,D09,0,0,0,I,I7278,0,16/01/2017,02/06/2017
133078,D10,0,0,0,I,I7278,0,16/01/2017,02/06/2017
133079,D11,0,0,0,I,I7278,0,16/01/2017,02/06/2017
133080,D12,0,0,0,I,I7278,0,,
59702,D12,0,0,0,I,I7267,0,16/01/2017,02/06/2017
133081,D13,0,0,0,I,I7278,0,,
133082,D14,0,0,0,I,I7278,0,,
133340,D19,0,0,0,I,I7267,0,16/01/2017,02/06/2017
56980,D01,40,37,3,I,I7021,0,16/01/2017,02/06/2017
42686,D01,0,0,0,I,I5894,0,,
78142,D02,24,24,0,I,I7032,0,16/01/2017,02/06/2017
57031,D02,40,40,0,I,I7021,0,16/01/2017,02/06/2017
42708,D02,0,0,0,I,I5894,0,,
93879,D03,24,22,2,I,I7026,0,16/01/2017,02/06/2017
78144,D04,24,23,1,I,I7032,0,16/01/2017,02/06/2017
90923,D04,24,1,23,I,I7026,0,16/01/2017,02/06/2017
57582,D04,40,40,0,I,I7021,0,16/01/2017,02/06/2017
42676,D04,0,0,0,I,I5894,0,,
42706,D05,0,0,0,I,I5894,0,,
42695,D06,0,0,0,I,I5894,0,,
57754,D06,40,21,19,I,I7021,0,16/01/2017,02/06/2017
42681,D07,0,0,0,I,I5894,0,,
42696,D08,0,0,0,I,I5894,0,,
133083,D08,0,0,0,I,I7273,0,16/01/2017,02/06/2017
57809,D09,40,40,0,I,I7021,0,16/01/2017,02/06/2017
42680,D09,0,0,0,I,I5894,0,,
133084,D09,0,0,0,I,I7273,0,16/01/2017,02/06/2017
42677,D10,0,0,0,I,I5894,0,,
42685,D11,0,0,0,I,I5894,0,,
42698,D12,0,0,0,I,I5894,0,,
59595,D13,30,21,9,I,I5885,0,16/01/2017,02/06/2017
42700,D13,0,0,0,I,I5894,0,16/01/2017,02/06/2017
42689,D14,0,0,0,I,I5894,0,,
42702,D15,0,0,0,I,I5894,0,16/01/2017,02/06/2017
42683,D16,0,0,0,I,I5894,0,,
42692,D17,0,0,0,I,I5894,0,,
57457,D18,41,41,0,I,I7021,0,16/01/2017,02/06/2017
133389,D20,40,0,40,I,I5896,0,16/01/2017,02/06/2017
42670,D30,0,0,0,I,I5894,0,16/01/2017,02/06/2017
42727,D30,40,0,40,I,I5896,0,16/01/2017,02/06/2017
42720,D31,40,0,40,I,I5896,0,16/01/2017,02/06/2017
124204,D34,40,40,0,I,I5894,0,16/01/2017,02/06/2017
44855,D01,0,0,0,I,IQ218,0,,
126027,D01,10,0,10,I,I6483,0,,
43832,D04,30,0,30,I,I7464,0,16/01/2017,02/06/2017
43837,D02,30,0,30,I,I7465,0,16/01/2017,02/06/2017
43838,D03,30,0,30,I,I7465,0,16/01/2017,02/06/2017
133051,D05,0,0,0,I,I7448,0,,
133071,D04,0,0,0,I,I7289,0,,
133089,D05,0,0,0,I,I7291,0,16/01/2017,02/06/2017
133093,D03,0,0,0,I,I7600,0,,
49496,D01,40,21,19,I,CC300,0,16/01/2017,02/06/2017
49494,D03,40,14,26,I,CC300,0,16/01/2017,02/06/2017
52203,D01,0,0,0,I,IM432,0,,
77406,D01,20,13,7,I,I5970,0,16/01/2017,02/06/2017
