50014,900,1055,,M,,J,,,DEDP,A023
50016,1900,2055,,M,,J,,,DEDQ,A007
121218,1100,1255,,M,,J,,,DEDU,A004
121219,1500,1655,L,,I,,,,,
114976,,,,,,,,,,
43583,1700,1855,,M,,,,,DEDQ,A017
43583,1800,1855,,,,J,,,DEDQ,A017
43589,900,1055,,M,,,,,DEDQ,A019
43589,900,955,,,,J,,,DEDQ,A019
43582,1100,1255,,M,,,,,DEDQ,A018
43582,1100,1155,,,,J,,,DEDQ,A018
43581,1700,1855,,,,,V,,DEDQ,A016
43581,1800,1855,,,I,,,,DEDQ,A016
43578,900,1055,L,,,,,,DEDQ,A016
43578,900,955,,,I,,,,DEDQ,A016
43584,1600,1755,,,,J,,,DEDQ,A018
43584,1600,1655,,M,,,,,DEDQ,A018
43586,1300,1455,L,,,,,,DEDQ,A016
43586,1300,1355,,,I,,,,DEDQ,A016
43577,1100,1255,,,,,V,,DEDQ,A017
43577,1200,1255,,,I,,,,DEDQ,A017
43588,1300,1455,,,,,V,,DEDQ,A020
43588,1300,1355,,,I,,,,DEDQ,A020
72271,900,1055,,,,,V,,DEDQ,A020
72271,1000,1055,,,I,,,,DEDQ,A020
43587,900,1055,,,,J,,,DEDQ,A017
43587,1000,1055,,M,,,,,DEDQ,A017
93316,1500,1655,L,,,,,,DEDQ,A019
93316,1500,1555,,,I,,,,DEDQ,A019
46277,700,855,,,,,V,,DEDQ,A002
46277,800,855,,,I,,,,DEDQ,A002
46277,700,855,,,,,V,,DEDQ,A002
46277,800,855,,,I,,,,DEDQ,A002
46280,700,855,L,,,,,,DEDQ,A002
46280,700,755,,,I,,,,DEDQ,A002
46280,700,855,L,,,,,,DEDQ,A002
46280,700,755,,,I,,,,DEDQ,A002
46276,900,1055,L,,,,,,DEDQ,A001
46276,900,955,,,I,,,,DEDQ,A001
46276,900,1055,L,,,,,,DEDQ,A001
46276,900,955,,,I,,,,DEDQ,A001
46279,1900,2055,,,,,V,,DEDQ,A004
46279,2000,2055,,,I,,,,DEDQ,A004
46279,1900,2055,,,,,V,,DEDQ,A004
46279,2000,2055,,,I,,,,DEDQ,A004
46285,1900,2055,,M,,,,,DEDQ,A017
46285,1900,1955,,,,J,,,DEDQ,A017
46285,1900,2055,,M,,,,,DEDQ,A017
46285,1900,1955,,,,J,,,DEDQ,A017
46275,1100,1255,L,,,,,,DEDQ,A001
46275,1100,1155,,,I,,,,DEDQ,A001
46275,1100,1255,L,,,,,,DEDQ,A001
46275,1100,1155,,,I,,,,DEDQ,A001
46273,1700,1855,,,,,V,,DEDP,A018
46273,1800,1855,,,I,,,,DEDP,A018
46273,1700,1855,,,,,V,,DEDP,A018
46273,1800,1855,,,I,,,,DEDP,A018
46288,1100,1255,,M,,,,,DEDQ,A004
46288,1100,1155,,,,J,,,DEDQ,A004
46288,1100,1255,,M,,,,,DEDQ,A004
46288,1100,1155,,,,J,,,DEDQ,A004
49549,700,855,,M,,J,,,DEDU,A003
103863,700,855,,M,,J,,,DEDX,A006
119874,900,1055,L,,I,,,,DEDX,A018
126106,,,,,,,,,,
119875,900,1055,,M,,J,,,DEDX,A016
119876,1700,1855,L,,I,,,,DEDX,A021
130031,1500,1655,,M,,J,,,DEDU,A006
62739,1730,2125,L,,,,,,DEDZZ,
50047,1100,1255,,,,J,,,DEDQ,A019
50047,1200,1255,,M,,,,,DEDQ,A019
50046,1700,1855,L,,,,,,DEDP,A013
50046,1700,1755,,,I,,,,DEDP,A018
65200,700,855,,,,,V,,DEDQ,A012
65200,800,855,,,I,,,,DEDQ,A012
65199,1500,1655,L,,,,,,DEDQ,A012
65199,1500,1555,,,I,,,,DEDQ,A012
65197,1500,1655,,,,,V,,DEDQ,A013
65197,1600,1655,,,I,,,,DEDQ,A013
65198,1300,1455,L,,,,,,DEDQ,A013
65198,1300,1355,,,I,,,,DEDQ,A013
65201,700,855,L,,,,,,DEDQ,A013
65201,700,755,,,I,,,,DEDQ,A013
87449,1300,1455,,,,,V,,DEDQ,A003
87449,1400,1455,,,I,,,,DEDQ,A003
83765,1300,1455,,M,,,,,DEDQ,A013
83765,1300,1355,,,,J,,,DEDQ,A013
44221,1730,2125,,,,J,,,DEDZZ,
65143,900,1055,,,,J,,,DEDK,A011
65143,1000,1055,,M,,,,,DEDK,A005
65187,1300,1555,,,,,V,,DEDI,A006
83786,1700,1855,L,,,,,,DEDI,A007
83786,1700,1755,,,I,,,,DEDI,A007
91160,900,1055,,,,,V,,DEDQ,A003
91160,1000,1055,,,I,,,,DEDQ,A003
46247,1700,1855,,,,,V,,DEDQ,A002
46247,1800,1855,,,I,,,,DEDQ,A002
91596,1100,1255,L,,,,,,DEDI,A006
91596,1100,1155,,,I,,,,DEDI,A006
46243,1700,1855,,M,,,,,DEDQ,A002
46243,1700,1755,,,,J,,,DEDQ,A002
46249,1500,1655,,,,,V,,DEDP,A003
46249,1600,1655,,,I,,,,DEDP,A003
46242,1300,1455,,M,,,,,DEDQ,A001
46242,1300,1355,,,,J,,,DEDQ,A001
46251,1700,1855,L,,,,,,DEDQ,A002
46251,1700,1755,,,I,,,,DEDQ,A002
46241,700,855,,,,,V,,DEDP,A017
46241,800,855,,,I,,,,DEDP,A017
42239,1900,2055,,,I,,V,,DUCT2,LC05
42240,700,1055,,,,,,S,DEDX,
42238,700,855,,M,,J,,,DUCT2,LC05
