DEDA
DEDCS
DEDD
DEDE
DEDF
DEDG
DEDH
DEDI
DEDK
DEDL
DEDM
DEDN
DEDP
DEDQ
DEDR
DEDS
DEDT
DEDU
DEDV
DEDW
DEDX
DEDY
DEDZ
DEDZZ
DUCT1
DUCT2
