DEPTO. DE CIENCIAS COMPUTACIONALES                
DEPTO. DE ELECTRONICA                             
DEPTO. DE FARMACOBIOLOGIA                         
DEPTO. DE FISICA                                  
DEPTO. DE INGENIERIA CIVIL Y TOPOGRAFIA           
DEPTO. DE INGENIERIA DE PROYECTOS                 
DEPTO. DE INGENIERIA INDUSTRIAL                   
DEPTO. DE INGENIERIA MECANICA ELECTRICA           
DEPTO. DE INGENIERIA QUIMICA                      
DEPTO. DE MADERA CELULOSA Y PAPEL                 
DEPTO. DE MATEMATICAS                             
DEPTO. DE QUIMICA                                 
